Gene	Normal1	Normal2	Normal3	Normal4	Normal5	Tumor1	Tumor2	Tumor3	Tumor4	Tumor5
RPS18	-0.184428571428571	-0.560071428571429	0.318928571428571	0.554	0.109642857142857	0.603071428571429	-0.137142857142857	0.0905714285714286	-0.803928571428571	1.06342857142857
HNRPD	-0.14825	-0.561833333333333	0.06425	0.1675	-0.0465833333333333	-0.758833333333333	-0.83	-0.524416666666667	-0.355833333333333	-1.05083333333333
CFHR5	-0.350833333333333	-0.0228333333333333	0.124833333333333	-0.298333333333333	-0.328166666666667	0.3075	0.199	0.685333333333333	1.1415	0.4804
SLC10A7	0.332875	-0.07625	0.360625	0.333125	0.39725	0.168625	0.052625	0.163857142857143	-0.168	-0.125
OR2K2	-0.125	-0.2665	-0.72	0.227	-0.0925	1.047	0.35	0.1705	0.2115	1.004
LMAN1	-0.651875	-0.946375	-0.592375	-1.0435	-0.753375	0.0475	-0.456125	-1.09125	-0.71875	-0.093375
SUHW1	-3.421	-3.15575	-3.4185	-2.82875	-3.813	-2.38925	-3.6855	-3.86025	-3.8975	-3.6085
CHD8	-0.1602	-0.4168	-0.4708	-0.1464	-0.1488	0.8762	0.2688	-0.187	-0.323	-0.1634
SUMO1	0.0833	-0.0184	0.1008	0.023	0.1488	0.2691	0.2113	0.4013	1.03	0.3723
GP1BA	0.1133	0.2251	0.1987	0.0866	0.2978	-0.1218	0.8802	0.2314	1.4168	-0.2895
DDB1	-0.3425	-0.206833333333333	-0.384833333333333	-0.679833333333333	-0.3705	0.1055	-0.251333333333333	0.104	0.329833333333333	-0.2595
MYO9B	-0.5831	0.2505	-0.2872	-0.4755	-0.4016	-0.3797	-0.375	-0.0337	0.2339	-0.4225
MMP7	6.8905	2.3145	7.09075	7.07475	7.14875	4.275	4.59425	5.3955	4.1975	5.19725
CRNKL1	0.316	-0.16875	0.093125	0.47575	0.405875	1.335375	0.84475	0.7565	0.897875	0.309
C9orf45	-1.32216666666667	-1.43583333333333	-0.865833333333333	-0.2995	-0.296333333333333	-1.72733333333333	-1.8775	-1.35383333333333	-1.06166666666667	-0.5555
XAB2	0.314375	0.138	0.129875	0.220375	0.452625	0.37425	-0.056	0.138875	0.637375	0.17625
RTN1	1.9745	2.077625	1.85725	1.735	1.863625	0.642625	0.875375	2.769875	1.317125	1.19342857142857
KLHL14	-0.1435	-1.013625	-0.44525	-0.7815	-0.385875	-1.73925	-1.336375	-1.358375	0.158125	-1.0515
TBX10	-1.2545	-1.2185	-1.098	-0.7615	-1.402	-1.165	-0.9	-0.4045	0.5075	-1.218
CENPQ	-1.60175	-1.62975	-1.9435	-1.35725	-1.22825	-1.445	-1.0395	-1.38675	-1.15025	-1.8315
UTY	-1.11414285714286	-1.21964285714286	-0.897785714285714	-0.702083333333333	-1.1585	-0.832571428571429	-1.14653846153846	-1.56146153846154	-1.27184615384615	-1.31371428571429
ZBTB12	-0.528	-0.8465	-0.4215	-0.91	-0.611	0.4285	-0.5485	0.229	-0.3345	1.146
DTNBP1	0.242	0.1035	-0.039	0.23575	0.315875	-0.49275	0.36325	0.62625	-0.25875	0.16575
KBTBD8	-1.436	-1.358	-1.01933333333333	-1.31983333333333	-1.32266666666667	-1.12416666666667	-0.697333333333333	-1.4485	-0.886333333333333	-1.799
ZEB1	1.568	1.8725	1.513	0.0943333333333333	0.706666666666667	-0.371833333333333	-0.349166666666667	-0.0393333333333333	-1.26083333333333	-0.515166666666667
ZG16	-1.11125	-1.087	-1.5645	-1.627	-1.4545	-2.147	-2.12075	-1.5075	5.10225	-2.414
MIER1	0.8151	0.3946	1.0394	1.0966	0.5883	-0.1082	0.3008	-0.0911	-0.1928	0.1795
ADAM5P	-0.163	0.8175	0.589	0.1085	-0.2785	0.9965	-0.683	0.182	-0.00399999999999998	-0.8105
CHD9	0.7228125	0.45625	0.611375	0.8305	0.5324375	-0.09325	-0.48575	-0.843875	-0.4615625	-0.4770625
STK16	-0.1845	0.3455	-0.2595	-0.3255	-0.2485	1.91675	1.4565	1.5015	1.89825	1.7785
KIAA1486	-0.609	-0.573	0.0555	-0.047	-0.4545	-0.1365	-0.302	-0.181	-0.6615	-0.3415
TOB2	0.397916666666667	1.31183333333333	0.56	0.150166666666667	0.347166666666667	0.328833333333333	0.590166666666667	0.528583333333333	0.72825	1.33
BANK1	3.29075	4.2605	2.23775	2.2	3.4385	0.86275	2.46625	2.36425	3.09475	0.821
OR2V2	0.49175	-0.07625	0.01525	0.1085	0.157	-0.66725	0.197	0.03625	-0.07375	0.6645
GRM2	0.0706666666666667	0.0885	-0.164333333333333	-0.181333333333333	-0.0641666666666667	0.389833333333333	0.442	0.0531666666666667	0.244833333333333	0.295333333333333
PROSC	0.69675	1.459875	0.68875	0.60925	0.574125	-0.50825	0.4845	0.22	2.144375	0.673125
SPIN2B	0.28725	0.171	0.06025	0.25425	0.28175	0.13425	0.38925	0.4095	1.02375	-0.279
PIR	-0.770444444444444	-0.404888888888889	-1.75111111111111	-1.89566666666667	-1.85	-1.74811111111111	-1.13088888888889	-2.20511111111111	-2.12277777777778	-2.08
IPO9	-0.9453	-0.5204	-0.8339	-0.9058	-0.7283	-0.8142	-0.4374	0.2742	0.0362	-0.0774
EVC	0.999666666666667	0.734333333333333	1.02216666666667	1.0215	0.936666666666667	0.761666666666667	0.856333333333334	0.562666666666667	-1.02316666666667	0.807666666666667
CXCL13	0.3095	0.299666666666667	1.7885	0.0868333333333333	1.727	4.029	5.08316666666667	3.4515	6.59366666666667	3.38966666666667
KIAA1199	-4.1407	-4.2749	-3.5099	-3.772	-3.7393	-1.0815	-2.6664	-1.8558	-1.422	-1.309
SORL1	0.9575	-0.3495	1.35325	1.842	1.83825	-0.34	-0.2745	1.03225	1.3885	-1.00075
NAT10	-0.964	-0.97425	-0.8345	-0.8165	-1.061	-0.0525	-0.03875	0.0615	0.31975	-0.26725
CHD1	-0.214	-0.93225	0.138	0.00700000000000001	-0.2325	-0.4845	-0.33075	-1.02775	-1.376	-1.07575
SYN3	0.0595	0.38425	0.075	-0.45525	-0.10925	-0.9685	-0.69775	-1.52925	-0.499	-1.13075
SLC22A2	-0.20025	-0.454	-0.34125	-0.26225	-0.3615	-0.56375	-0.26875	-0.38025	-0.616	-0.28925
SERPINF1	2.2405	2.922	1.475	-0.013	1.45516666666667	-0.268833333333333	-0.0151666666666667	0.367333333333333	-0.191	0.125
WDR34	-1.36525	-1.665	-1.06275	-1.055	-1.1275	-0.20825	-0.7055	0.4235	0.1495	-0.08875
OR7A17	0.264	0.255	0.2035	0.22525	0.0555	0.0975	0.5285	0.516	0.58125	0.02025
C9orf11	0.6105	-0.4385	0.0845	0.0085	0.097	-0.5925	-0.856	-0.91	-0.9245	-0.2565
RNF216L	-0.2513	-0.3893	-0.4584	-0.3509	-0.1495	-0.6105	0.0382	-0.1655	-0.4899	-0.6269
LHB	-0.3815	-0.162	-0.371	-0.4385	-0.6055	0.011	-0.2825	-0.148	-0.293	0.0365
STK25	-0.476	0.0545	-0.272	-0.644375	-0.29425	0.085	-0.50175	-0.531	0.194125	-0.11775
TAOK3	0.859625	0.87425	0.899125	1.201875	1.106875	0.835	1.24375	1.479125	0.484	-0.02375
LOC152573	-0.04375	-0.02125	0.3135	-2.1115	-1.4275	-2.67125	-3.8865	-2.75925	-3.59375	-4.29025
C3orf39	0.739375	0.687	0.782875	0.552625	0.521125	1.1115	1.202875	0.3755	1.171875	1.075
C14orf108	0.5813	0.4144	0.7171	0.616	0.5315	-0.0893	0.3816	0.4422	0.1847	0.3365
CDC25B	-1.84954545454545	-1.16218181818182	-2.34627272727273	-2.51981818181818	-1.99181818181818	1.01281818181818	-1.49345454545455	-2.01727272727273	0.0106363636363637	-2.57263636363636
BMP3	1.1335	1.581	0.7805	0.093	0.2425	-0.015	0.1945	0.444	-0.431	0.1085
TMEM180	-0.224	0.0815	-0.571	-0.2455	-0.4565	0.195	0.5825	0.4115	0.7535	-0.2075
MAP1LC3C	2.52625	4.082	3.35075	0.8965	1.6695	-0.4505	0.1515	0.61975	-0.671	0.10625
CRYGC	-0.299	-0.221	-1.2075	-0.0545	-0.4495	-0.249	-0.7575	0.1795	-0.6595	-0.4345
POU3F1	-1.7105	-1.4264	-1.587	-1.6045	-1.9089	-1.2145	-1.3478	-1.4102	-1.3704	-1.1556
C20orf32	-1.139	-1.2435	-1.0695	-1.0925	-1.525	-1.2735	-1.017	-1.5385	-0.643	-1.89
CCDC95	-0.494	-0.383	-0.6575	-0.738	-0.536	-0.3305	0.185	-0.2445	-0.221	0.17
HIGD1B	3.946	4.4035	3.86	3.479	3.888	4.811	4.34975	4.49125	3.802	4.53075
USP6NL	0.166875	-0.532875	0.075125	0.420375	0.058625	-0.693625	-0.31425	0.124875	-0.345375	-0.229625
ABCD4	0.2695	0.67	0.0428333333333333	-0.141166666666667	0.247333333333333	-0.381	-0.9525	-0.355	-0.657833333333333	-0.244333333333333
DIMT1L	-0.484	-0.707166666666667	-0.152166666666667	-0.255	-0.494666666666667	-0.76475	-0.503	-0.650916666666667	-1.09866666666667	-0.564916666666667
TEK	2.417	3.058875	2.0605	1.52975	2.049125	1.007375	0.392375	0.67175	0.508125	0.984
SLC25A46	-0.23225	-0.067	-0.391	-0.705	-0.50625	-0.62225	-0.0195	-0.20075	-0.8765	-1.11375
LARP7	-1.5097	-1.4293	-1.475	-1.2324	-1.2191	-1.0292	-1.3553	-1.3837	-1.737	-1.4346
CD160	1.6085	0.8305	0.415166666666667	0.740333333333333	1.62366666666667	0.270833333333333	0.8625	0.0426666666666667	1.06233333333333	0.066
MT1JP	0.929333333333333	1.1295	2.26116666666667	0.695833333333333	0.471	-1.35983333333333	-0.954666666666667	-1.50666666666667	-0.315166666666667	-2.0555
PHF20	-0.223875	-0.2463125	-0.1035	-0.080375	-0.184	-0.5001875	0.17875	0.590375	0.0211875	-0.1751875
CPNE4	-0.70325	-1.003	-1.27125	-0.71525	-0.01325	-1.82675	-1.70025	-2.04775	-2.084	-2.023
GTPBP1	-0.233642857142857	-0.159285714285714	-0.127214285714286	-0.204285714285714	-0.0443571428571429	-0.381928571428571	-0.196	-0.480428571428571	-0.0676428571428572	0.183142857142857
RAB33B	1.23816666666667	1.334	1.4655	1.53883333333333	1.64933333333333	0.892166666666667	0.962166666666667	1.41266666666667	0.115666666666667	1.132
ALDOC	-0.42425	-1.166	-1.6815	-0.702875	-1.079625	-2.837875	-2.027	-2.644875	-0.931125	-2.966375
ZNF212	-0.139	-0.53975	-0.8295	0.0205	0.083	0.22375	-0.03675	0.07375	0.12575	-0.0855
NUDT1	-1.3035	-0.693333333333333	-1.30483333333333	-1.239	-1.065	-1.39533333333333	-0.566	-0.391833333333333	-0.0551666666666667	-1.66316666666667
RFPL2	-0.81825	-0.8505	-0.7285	-1.297	-0.4465	-0.92725	0.8845	0.29225	0.75825	-1.1345
ZNF83	0.294666666666667	-0.0285	-0.0626666666666667	0.630666666666667	1.05783333333333	1.09666666666667	0.533166666666667	0.559166666666667	-1.47666666666667	-0.0976666666666667
GDPD5	0.823375	1.871625	-0.301875	-0.685375	0.177	-1.3285	-1.64325	-0.705875	-1.115125	-1.6925
PDCD4	1.82245	1.3083	2.1076	2.1732	1.76595	0.0995	1.9579	1.8978	1.64445	2.8848
CEP350	0.02625	-0.016	-0.23075	0.13075	0.28675	-0.20025	-0.04475	0.3045	0.192	0.764
OR10A2	0.17075	-0.1595	0.1795	0.13975	-0.14075	0.53725	0.2815	-0.227	-0.14325	0.17425
CST7	1.25875	0.41375	0.083	0.1865	0.97625	-0.358	1.35875	0.95675	2.62425	-0.17275
CIAO1	-1.1365	-0.58875	-1.28525	-1.36875	-1.38275	-1.0075	-1.44625	-1.112	-0.45475	-1.147
SELL	0.484125	0.89075	0.734875	0.220625	1.03375	0.364375	1.255	0.781	2.11525	0.543875
OR8J3	0.308	0	0.088	0.0155	0.081	0.4	0.4605	0.252	-0.0245	-0.0845
LTBP4	1.12816666666667	1.42583333333333	1.25983333333333	-0.0261666666666667	0.330333333333333	-0.889833333333333	-0.505166666666667	-0.661666666666667	-0.827166666666667	-0.0508333333333333
SIRT6	-0.85125	-0.4595	-0.5685	-0.57825	-0.89075	0.47175	0.01575	-0.0035	0.387	-0.0515
CCL19	3.943	4.5005	3.719	3.55775	4.4775	2.99625	4.77825	2.91925	5.44925	4.28075
PPIL1	-1.51366666666667	-1.83	-1.28783333333333	-1.24733333333333	-1.48816666666667	-0.224166666666667	-0.104666666666667	-0.356833333333333	-0.797166666666667	-0.455166666666667
GBP7	0.0458333333333333	0.072	0.289166666666667	-0.046	0.0815	0.377833333333333	0.119333333333333	-0.0131666666666667	3.54216666666667	0.018
STK17A	-0.2373	-0.7795	0.0594	0.0743	-0.644	-1.7444	-1.2864	-0.8536	-0.9669	-1.7862
ABR	0.64575	0.806	0.94275	1.0285	0.8175	0.33	0.69875	0.466	0.3215	0.35975
OR9G1	0.2945	0.1835	0.1905	0.0245	0.15	0.663	0.543	-0.938	0.895	0.139
FOXE1	-0.49	-0.592875	-0.19025	-0.3995	-0.7365	-0.7905	-0.630625	-0.558875	-1.166625	-0.800375
CNGA3	1.0075	0.65	1.462	-0.2125	-0.1465	0.634	1.673	0.1475	0.1165	1.3625
GML	0.1625	-0.0605	-0.0745	0.319	-0.072	0.2915	0.651	-0.1195	0.1645	0.328
CD38	-0.8975	-0.712	-2.52575	-3.4875	-1.14375	-2.3695	-1.12725	-2.1825	0.63375	-4.2345
ZDHHC6	-0.0248333333333333	-0.00933333333333333	0.1	0.0481666666666667	0.0885	-0.4585	0.376166666666667	-0.0701666666666667	-0.156166666666667	-0.0663333333333333
NEFH	-2.52425	-1.6145	-2.64775	-2.27525	-2.3065	-2.966	-3.42925	-2.37775	-3.159	-2.78375
CTDSP2	1.23266666666667	1.7915	1.28	1.51275	1.50158333333333	1.11483333333333	0.261166666666667	0.464583333333333	0.587333333333333	0.611583333333333
PGBD5	-1.32733333333333	-1.18416666666667	-1.146	-1.27733333333333	-0.540666666666667	0.457	-2.34216666666667	-1.2635	-1.36583333333333	-2.44766666666667
CCNY	0.318857142857143	0.948285714285714	0.451428571428571	0.190785714285714	0.0775	0.336714285714286	0.3715	-0.0129285714285714	-0.421714285714286	0.211142857142857
RMND5B	0.0508333333333333	0.421416666666667	0.0875833333333333	-0.0266666666666667	0.07775	0.741083333333333	0.797	0.311416666666667	0.69775	0.51575
ZNF257	-0.941	-1.9345	-0.993	-0.70825	0.0845	-0.4425	-2.72175	-1.021	0.13075	-1.389
FLJ22167	0.516625	0.17275	0.517625	0.229125	0.38225	0.378375	0.899875	-0.154375	0.403625	0.0295
EXOSC7	-0.350833333333333	-0.5615	-0.00416666666666666	-0.182333333333333	-0.3505	-0.0501666666666667	-0.744333333333333	-0.617833333333333	0.302333333333333	-0.579
ROR2	1.170625	0.1215	1.514375	0.610625	1.076625	1.42075	1.128375	2.3005	-0.036875	0.68975
MAOA	3.1305	4.711	2.516	2.4185	2.566625	-2.4135	-1.73425	-2.341875	0.000499999999999994	0.243375
TNNT3	3.404	4.31316666666667	2.8135	0.464666666666667	1.914	-0.0676666666666667	0.350333333333333	0.291833333333333	0.335	0.765666666666667
GYPC	0.744	1.77925	-0.05	-0.41175	0.4245	-1.31725	-1.529	-0.99275	-1.2435	-1.6595
C7orf33	0.465	0.458	0.1805	0.121	0.5375	0.6445	0.261	0.7085	1.123	0.849
PLIN	4.4155	4.78483333333333	3.75366666666667	3.94866666666667	4.17033333333333	-0.0361666666666667	3.04916666666667	1.55166666666667	0.762833333333333	3.4865
LOC90826	0.5725	-0.0985	0.3395	0.39725	0.28125	-0.003	0.18425	-0.1425	-0.88925	-0.2175
RNF4	-0.1805	-0.2775	-0.1531	-0.1472	0.0393	-0.1275	0.0038	0.00569999999999999	-0.3413	-0.344
F8A1	0.575833333333333	1.12433333333333	0.374833333333333	0.349833333333333	0.715333333333333	-0.190666666666667	0.715166666666667	0.843333333333333	0.266166666666667	-0.348333333333333
PLEKHG4	-0.811	-0.419	-0.77025	-0.40575	-0.4795	-2.022	-2.44825	-2.18325	-1.232	-0.91525
GRB2	-0.24335	0.30365	-0.13855	-0.6866	-0.1901	0.86725	0.2817	0.2253	0.47895	0.2127
HIST1H2AD	-1.80775	-1.58525	-1.78775	-0.886	-1.355	0.2705	0.549	-0.201	0.313	0.8845
DUS3L	-0.782666666666667	-0.762833333333333	-0.563166666666667	-0.658833333333333	-0.717666666666667	-2.46883333333333	-1.4285	-0.524333333333333	-0.739666666666667	-0.317166666666667
EIF1	0.315333333333333	1.03033333333333	0.272166666666667	-0.102833333333333	0.299666666666667	-0.162	-0.109833333333333	-0.265166666666667	0.0718333333333333	-0.626833333333333
RP5-1077B9.4	-1.46966666666667	-0.567333333333333	-1.59566666666667	-1.81116666666667	-1.3765	-0.493666666666667	-0.3495	-1.04466666666667	-1.04783333333333	-0.908833333333333
FPGT	1.13825	0.85975	1.27075	1.36225	1.0965	1.219	1.7925	1.601	1.1065	1.60625
GDF10	4.38033333333333	4.45816666666667	4.24016666666667	0.4245	3.3485	-1.9885	0.00866666666666665	-0.762666666666667	-0.654166666666667	-1.01216666666667
COQ9	-0.24425	-0.07325	-0.34775	-0.36075	-0.28575	0.1635	-0.09925	-0.141	-0.1425	-0.80825
GCC2	0.590214285714286	0.0973571428571429	0.485071428571429	1.02135714285714	0.759857142857143	-0.1865	-0.595285714285714	-0.885785714285714	0.171785714285714	-0.349071428571428
RARRES3	2.368625	1.3535	2.43725	2.416125	2.85275	2.200375	3.824375	3.39075	3.847125	2.701875
PLXNA1	-0.2371	0.3556	-0.2321	0.00990000000000002	-0.1606	-0.8979	-0.5	-0.6546	0.0778	-0.2131
KIAA0100	-0.324	0.1316	-0.2185	-0.239	0.00489999999999997	-0.6535	0.2393	0.0796	0.8558	0.0478
PMF1	-0.5145	-0.391	-0.51625	-0.688	-0.3	0.19975	-0.0805	0.4555	0.0075	0.76125
FNDC1	4.28925	5.09275	4.51325	1.29825	3.2455	5.22425	5.1495	5.25275	5.1645	5.51675
HS2ST1	-0.338583333333333	0.05975	-0.0453333333333333	-0.461333333333333	-0.250666666666667	-0.372416666666667	-0.6235	-0.0535	0.249333333333333	-0.0516666666666667
CRELD2	0.0655	0.27725	0.046	-0.506	-0.2225	-0.38925	-0.101	0.44525	0.55875	0.279
C8G	-2.1495	-1.9635	-2.2915	-2.204	-2.0505	-1.6275	-1.3635	-1.6645	-1.904	-1.6955
CD82	0.8835	0.596	1.273	1.606	1.3475	-0.41675	0.15575	2.09925	-0.06725	1.1405
LIM2	-0.879	-0.822	-0.9275	-0.546	-1.221	-1.2725	-0.441	-0.7605	-0.9945	-1.108
UNQ6490	-0.44	-0.983	0.227	-0.2905	-0.423	0.1535	0.1045	0.087	-0.841	-0.6225
MMP16	0.02925	0.6645	0.3555	-0.14025	0.303	0.67325	-0.711	0.0185	-0.40725	-0.679
DRD3	0.00875000000000001	0.09825	-0.11425	-0.0745	-0.3835	0.203	0.09475	-0.2465	-0.04825	0.028
C5orf26	0.338	-0.93475	-0.0285	0.75	0.41175	0.4715	-0.59975	-0.541	-1.96075	-0.96275
C11orf73	-0.272375	-0.000749999999999994	-0.3775	-0.380875	-0.587125	-1.275625	-0.841375	0.547375	-0.76075	-0.29125
PTP4A2	0.348125	0.5705	0.26075	-0.04875	0.27325	-0.00925	0.0855	0.597125	0.701375	0.56425
OR4M2	-0.311	-0.023	-0.4025	-0.5555	-0.3845	0.9575	0.8495	0.662	0.289	0.337
HPCA	-0.954833333333333	-0.122833333333333	-0.756	-1.09066666666667	-1.315	-0.821833333333333	-0.5175	-1.23233333333333	0.003	-0.930833333333334
SEC14L1	0.258666666666667	0.560166666666667	0.0491666666666667	-0.647	-0.186	-0.590166666666667	-1.30033333333333	-0.814166666666667	-0.766333333333333	-1.18383333333333
CHFR	-0.840875	-0.227875	-0.71925	-1.1145	-0.6455	-0.019875	0.068875	0.0485	-1.358625	-0.851875
EMILIN1	0.7235	1.014875	0.252875	0.062625	0.22525	0.05075	1.016125	0.623875	0.31725	0.685875
NDUFS4	0.07425	-0.035	-0.1885	-0.12375	-0.12475	-0.10225	0.59575	-0.54225	-1.22375	-0.56225
COL18A1	-0.028875	-0.051875	0.056125	-0.423625	-0.10075	-0.109875	-0.314125	0.179875	-0.90975	-0.048
PDZD3	0.1352	-0.1397	0.064	-0.0839	-0.2839	0.0423	0.2442	-0.3712	0.1661	-0.1544
C9orf16	-0.640833333333333	-0.157166666666667	-0.522333333333333	-0.8405	-0.7335	0.2	-0.541166666666667	0.166	0.0853333333333333	0.197666666666667
ERBB2IP	-0.174333333333333	-0.299666666666667	-0.0603333333333333	0.0403333333333333	0.168333333333333	-0.0966666666666667	0.844333333333333	0.228166666666667	-0.4145	-0.00983333333333333
EMX2	4.92275	5.1545	4.09	3.32725	3.72075	2.0445	3.54275	4.61375	1.16525	2.54475
FUS	-0.92375	-1.22175	-0.761	-0.75675	-0.677	-0.7485	-0.72075	-0.54225	-0.728	-1.1085
TF	-2.3655	-1.5727	-3.1585	-1.5843	-2.2261	-3.8047	-3.7329	-3.7456	-3.9313	-3.96066666666667
CLCN4	1.11466666666667	1.75533333333333	0.807666666666667	0.569833333333333	0.729666666666667	-0.818166666666667	-0.8525	-0.496833333333333	-1.31683333333333	-1.2805
CXorf56	0.759	0.623	0.90675	0.6905	0.9125	0.288	0.686	0.586	0.7735	-0.192
C11orf72	0.0765	0.24675	-0.032	0.44425	0.056	0.30325	0.26625	-0.318	0.10875	0.398
ELAC2	-0.690333333333333	-0.335166666666667	-0.5845	-0.752916666666667	-0.542833333333333	0.0351666666666667	0.19925	0.12025	-0.1925	-0.2265
NPR1	2.37475	3.34275	1.731	0.73575	1.74775	-0.551	-0.8295	-0.39425	-0.86375	-0.9185
ASS1	-0.410833333333333	0.886	-1.29016666666667	-1.3175	-1.10066666666667	-2.8415	-3.363	-2.664	0.263166666666667	-0.237833333333333
USP42	0.099625	-0.7365	0.148125	0.345625	0.092875	0.31725	0.684125	0.54175	0.39825	0.59025
POLR2J	-0.868	-0.6195	-1.059	-1.6325	-1.197	-0.388	0.1255	-0.1675	0.2325	-0.2905
SEC23IP	0.385	0.248666666666667	0.317666666666667	0.214166666666667	0.248166666666667	0.569833333333333	0.872	0.6345	0.834666666666667	1.22633333333333
UQCRC1	-0.3665	-0.17975	-0.003	-0.4175	-0.4395	0.1045	0.4505	-0.43325	0.78	0.32375
LOC729603	-0.25125	0.49925	-0.29025	-0.31	-0.1495	-0.451	-0.4415	-0.27025	-0.6805	-0.153
C1orf71	-0.022	-0.912375	-0.06775	-0.87025	-0.73075	0.142875	0.399	0.198875	0.00112499999999999	0.37525
POLG	-3.1075	-2.5415	-3.1875	-2.94	-2.8025	-1.7115	-1.5625	-2.4525	-1.419	-2.524
ADAM23	-2.97775	-2.28225	-2.9455	-3.298	-3.35375	-3.482	-3.4235	-2.9315	-3.828	-3.394
TFR2	-1.8275	-1.61325	-1.849	-1.57175	-2.04475	-0.575	-1.22375	-1.58075	-1.61075	-0.62875
RICTOR	-0.1103	-0.4864	-0.63	-0.0663	0.0234	-0.669	-1.012	-0.7864	-1.3248	-1.0044
MGC39606	1.79375	1.10075	1.92325	2.268	1.926	0.54425	1.583	-0.26775	1.74925	0.90425
C19orf55	-0.49875	-0.413	-0.45625	-0.58725	-0.504125	-0.281625	-0.022	-0.11525	-0.103125	0.079625
SNAPC1	-0.691833333333333	-1.27216666666667	-1.45266666666667	-0.8135	-1.04216666666667	-1.34333333333333	-2.2155	-1.64216666666667	-1.5075	-1.62
GNA11	0.996375	0.983125	1.14575	0.938625	1.01675	1.346875	0.715375	0.68075	1.311125	1.11975
CCDC52	-0.124333333333333	-1.17483333333333	-0.288333333333333	-0.171	-0.0738333333333333	0.433	0.5725	-0.343	0.511166666666667	0.0025
FSIP1	0.9375	-0.2725	1.2565	1.8535	1.1745	4.5965	4.988	5.9975	1.332	5.024
UPF3A	0.229625	-0.612125	0.05325	0.147625	0.43625	-0.001125	-0.971125	-0.62	-0.312625	-0.284
IGSF11	-2.06683333333333	-2.38933333333333	-2.02883333333333	-2.05066666666667	-2.19816666666667	-3.19583333333333	-2.40666666666667	-3.52816666666667	-2.07633333333333	-2.61383333333333
LAGE3	-1.24525	-1.317	-1.242	-1.067	-1.01175	-0.3255	0.7185	0.83975	0.557	-0.02175
CHST6	-3.3715	-3.676	-2.131	-2.7505	-2.602	-3.537	-2.9205	-3.116	-2.6225	-1.8535
UNC13B	0.468625	0.99425	0.53075	0.327875	0.522875	0.179	0.994	1.376125	1.094625	0.5765
TTLL4	-1.327375	-1.511125	-0.8025	-1.02475	-1.259625	-1.38875	-1.56075	-1.156125	0.537875	-0.586125
ZNF687	-0.029625	-0.212375	0.202875	0.14175	0.067375	0.33375	0.3885	0.454375	0.0535	0.678125
SDC2	0.7711	2.0188	1.1396	0.6172	0.0151	-0.5418	-0.0746	0.6531	-2.5868	1.1632
COX7A2	-0.638	-0.5955	-0.83275	-0.9575	-0.81375	0.337	0.106	0.35675	0.22375	0.1415
LAMB4	0.25225	1.09	1.684	0.169	-0.08125	-0.13975	0.022	-0.6255	0.3295	0.351
